Campaign_Name,Clicks,Payout
Carters CPS (Offline),1,0
Carters CPS (Offline),1,0
Carters CPS (Offline),13,0
Carters CPS (Offline),13,0
Carters CPS (Offline),14,0
Carters CPS (Offline),14,0
Carters CPS (Offline),59,0
Carters CPS (Offline),59,0
CASETiFY,353,7.02
CASETiFY,890,42.02
CASETiFY,876,55.97
CASETiFY,841,33.4
CASETiFY,247,20.85
CASETiFY,268,35.13
CASETiFY,397,3.1
CASETiFY,294,14.33
CASETiFY,304,9.2
CASETiFY,104,17.55
CASETiFY,455,36.06
CASETiFY,353,7.02
CASETiFY,890,42.02
CASETiFY,876,55.97
CASETiFY,841,33.4
CASETiFY,247,20.85
CASETiFY,268,35.13
CASETiFY,397,3.1
CASETiFY,294,14.33
CASETiFY,304,9.2
CASETiFY,104,17.55
CASETiFY,455,36.06
CASETiFY,573,20.33
CASETiFY,890,42.02
CASETiFY,876,55.97
CASETiFY,841,33.4
CASETiFY,386,45.89
CASETiFY,7,4.18
Central Department Store TH,20,0
Central Department Store TH,4,0
Central Department Store TH,1,0
Central Department Store TH,15,0
Central Department Store TH,5,0
Central Department Store TH,39,0
Central Department Store TH,17,0
CheapOair (Paused),2430,33.454
CheapOair (Paused),2430,33.454
CheapOair (Paused),10,0
CheapOair (Paused),10,0
ChicMe WW,53,0
ChicMe WW,67,0
ChicMe WW,77,0
ChicMe WW,41,0
ChicMe WW,23,0
ChicMe WW,7,0
ChicMe WW,2,0
ChicMe WW,1,0
ChicMe WW,4,0
Circleone.in CPS - India,1,0
Circleone.in CPS - India,20,0
Cisdem Inc.,5,0
Clean Email,12,0
Clean Email,12,0
Clean Email,53,0
Clean Email,40,0
Clean Email,21,0
Clean Email,32,0
Clean Email,43,0
Clean Email,45,0
Clean Email,28,0
Clean Email,13,0
Clean Email,10,0
Clean Email,4,0
Clean Email,2,0
Clean Email,15,0
Clean Email,47,0
Clean Email,53,0
Clean Email,42,0
Clean Email,313,0
Clean Email,32,0
Clean Email,43,0
Clean Email,45,0
Clean Email,28,0
Clean Email,13,0
Clean Email,10,0
Clean Email,4,0
Clean Email,2,0
Clean Email,15,0
Clean Email,47,0
Clean Email,12,0
Clean Email,42,0
Clean Email,21,0
Clean Email,32,0
Clean Email,43,0
Clean Email,45,0
Cleartrip [CPA] Many Geos,68,0
Cleartrip [CPA] Many Geos,246,0
ClearTrip.com CPS - India,186,0
ClearTrip.com CPS - India,62,0
ClearTrip.com CPS - India,100,0
ClearTrip.com CPS - India,172,0
ClearTrip.com CPS - India,117,0
Clensta [CPS] IN,1,0
Clensta [CPS] IN,10,0
Clensta [CPS] IN,3,0
Clensta [CPS] IN,1,0
Clensta [CPS] IN,1,0
Clensta [CPS] IN,4,0
Clevguard WW,37,0
Clevguard WW,2,0
Clevguard WW,1,0
Clevguard WW,1,0
Clevguard WW,1,0
Clevguard WW,14,0
Clevguard WW,139,0
Clovia,1,0
Clovia,133,0
Clovia,73,0
Clovia,73,0
Clovia,53,0
Clovia,62,0
Clovia,1,0
Clovia [CPS] IN,486,0
Clovia [CPS] IN,309,0
