Campaign_Name,Clicks,Payout
Shopee TH - CPS,13241,20.2932
Shopee TH - CPS,13241,20.2932
Shopee TH - CPS,23828,29.2176
Shopee TH - CPS,23828,29.2176
Shopee TH - CPS,27465,31.6923
Shopee TH - CPS,27465,31.6923
Shopee TH - CPS,11491,15.1003
Shopee TH - CPS,11491,15.1003
Shopee TH - CPS,8569,6.1492
Shopee TH - CPS,8569,6.1492
Shopee TH - CPS,7810,10.6464
Shopee TH - CPS,7810,10.6464
Shopee TH - CPS,10085,8.5568
Shopee TH - CPS,10085,8.5568
Shopee TH - CPS,5735,12.6667
Shopee TH - CPS,5735,12.6667
Shopee TH - CPS,5943,8.0423
Shopee TH - CPS,5943,8.0423
Shopee.co.id CPS - Indonesia,757,0.0
Shopee.com.my CPS - Malaysia,5821,0.0
Shopee.com.my CPS - Malaysia,9851,0.0
Shopee.com.my CPS - Malaysia,4541,0.0
Shopee.com.my CPS - Malaysia,4171,0.0
Shopee.com.my CPS - Malaysia,3480,0.0
Shopify CPA,12530,0.0
Shopify CPA,17389,0.0
Shopify CPA,11681,0.0
Shopify CPA,11681,0.0
Shopify CPA,52413,0.0
Shopify CPA,52413,0.0
Shopify CPA,38125,0.0
Shopify CPA,38125,0.0
Shutterstock WW,18736,0.0
Shutterstock WW,2281,0.0
Shutterstock WW,1576,0.0
Shutterstock WW,1203,0.0
Shutterstock WW,889,0.0
Shutterstock WW,2316,0.0
Shutterstock WW,1944,0.0
SquareSpace CPA (Offline),8434,0.0
SquareSpace CPA (Offline),12609,0.0
TataCliq [CPS] IN,660,0.0
TataCliq [CPS] IN,818,0.0
Temu Global - CPS,526,0.0
Temu Global - CPS,526,0.0
Temu Global - CPS,14862,2.3228
Temu Global - CPS,14862,2.3228
Temu Global - CPS,24327,0.0
Temu Global - CPS,24327,0.0
Temu Global - CPS,40001,2.7628
Temu Global - CPS,40001,2.7628
Temu Global - CPS,26884,2.3276
Temu Global - CPS,26884,2.3276
Tenorshare [CPS] WW,611,0.0
TheOutNet GCC,844,0.0
TheOutNet GCC,1294,0.0
TheOutNet GCC,1466,0.0
TheOutNet GCC,1252,0.0
TheOutNet GCC,810,0.0
Thriftbooks - CPS,2800,55.0305
Thriftbooks - CPS,1122,24.5581
Thriftbooks - CPS,917,15.939
Thriftbooks - CPS,917,15.939
Thriftbooks - CPS,869,16.935
Thriftbooks - CPS,832,14.6427
Thriftbooks - CPS,1695,5.734
Thriftbooks - CPS,1695,5.734
Thriftbooks - CPS,884,4.7225
Thriftbooks - CPS,884,4.7225
Thriftbooks - CPS,638,2.6437
Thriftbooks - CPS,638,2.6437
Thriftbooks - CPS,734,4.7755
Thriftbooks - CPS,734,4.7755
Thriftbooks - CPS,682,5.2815
Thriftbooks - CPS,682,5.2815
Thriftbooks - CPS,688,0.8137
Thriftbooks - CPS,688,0.8137
Thriftbooks - CPS,2642,0.3682
Thriftbooks - CPS,2642,0.3682
Thriftbooks - CPS,2546,1.1134
Thriftbooks - CPS,2546,1.1134
Tiqets CPS (Offline),1024,23.3723
Tiqets CPS (Offline),592,0.0
Titan [CPS] IN,914,0.0
Titan [CPS] IN,1139,0.0
Titan [CPS] IN,2031,0.0
Titan [CPS] IN,1031,0.0
Trainline WW,49965,63.76
TutorialsPoint.com CPS - Worldwide,2310,0.0
TutorialsPoint.com CPS - Worldwide,1187,0.0
TutorialsPoint.com CPS - Worldwide,1064,0.0
TutorialsPoint.com CPS - Worldwide,704,0.0
Uber Global Riders,3570,0.0
Uber Global Riders,5323,0.0
Uber Global Riders,536,0.0
Uber Global Riders,1542,0.0
Udacity Affiliate Program,997,0.0
Udacity Affiliate Program,927,0.0
Udacity Affiliate Program,1042,0.0
Upwork,1346,0.0
Upwork,2273,0.0
Upwork,917,70.0
Upwork,1331,0.0
Upwork,1307,0.0
Upwork,851,35.0
Upwork,998,14.0
Veromoda [CPS] IN,568,0.0
Vrbo - CPS,2329,8.56
Vrbo - CPS,845,0.0
Vueling FR CPS,4758,0.0
Vueling FR CPS,5063,0.0
Vueling FR CPS,5333,0.0
Vueling FR CPS,5333,0.0
Vueling FR CPS,787,0.0
Vueling FR CPS,1646,0.0
Vueling FR CPS,1646,0.0
Vueling FR CPS,814,0.0
Vueling FR CPS,814,0.0
Walmart Affiliate Program,11333,11.95
Walmart Affiliate Program,3602,73.21
Walmart Affiliate Program,3230,69.03
Walmart Affiliate Program,3686,99.71
Walmart Affiliate Program,3602,73.21
Walmart Affiliate Program,3230,69.03
Walmart Affiliate Program,3686,99.71
Walmart Affiliate Program,11333,11.95
Web.com,3698,0.0
Web.com,4178,0.0
Web.com,799,0.0
Web.com,3656,0.0
Web.com,4178,0.0
Web.com,9378,10.0
Web.com,799,0.0
Web.com,3658,0.0
Web.com,4638,75.0
Web.com,3436,10.0
Web.com,3582,60.0
Web.com,3142,80.0
Web.com,2859,0.0
WinZip and ReviverSoft | Utility Software,577,0.0
Wish,1711,14.0
Wondershare Software,869,36.12
Wondershare Software,1224,17.89
Yesstyle.com CPS - Worldwide,941,0.0
Yesstyle.com CPS - Worldwide,2480,0.0
Yoox Many GEOs,988,0.0
Yoox Many GEOs,614,0.0
Yoox Many GEOs,724,0.0
Zulily.com CPS - USA,2284,0.0
Zulily.com CPS - USA,1085,0.0
Zulily.com CPS - USA,987,0.0
